question_no,type,category,tags,source_ref,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
248,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-46-v11,2026-gakka-46,"給与所得者が17年間勤務した会社を退職し、退職金1,200万円の支給を受けた場合、所得税における退職所得の金額の計算上、退職所得控除額は（   ）となる。",,,,,,40万円×17年＝680万円,800万円＋70万円×(17年－20年)＝800万円,"70万円×17年＝1,190万円",,1,正解は1です。勤続20年以下は40万円×勤続年数（最低80万円）です。17年なら40万円×17年＝680万円です。,2026年学科第46問の11問目の派生。勤続17年の退職所得控除を計算する演習問題です。,勤続17年は20年以下のため、40万円×17年＝680万円。800万円＋70万円×(年数－20)は20年超の公式です。,"2:800万円は20年超の退職所得控除の基本額であり、勤続17年には適用されません。20年以下は40万円×勤続年数で計算し、17年なら680万円が退職所得控除額となります。年数と公式の対応を確認しましょう。;3:1,190万円は70万円×勤続年数という公式で、20年超の計算方法と混同した誤りです。17年は20年以下なので、40万円×17年＝680万円が正しい退職所得控除額の求め方です。",退職所得控除：20年以下＝40万円×年数（最低80万円）、20年超＝800万円＋70万円×(年数－20)。
249,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2025-gakka-46-v11,2025-gakka-46,所得税における一時所得に係る総収入金額が410万円で、その収入を得るために支出した金額が140万円である場合、一時所得の金額は（ ① ）となり、そのうち総所得金額に算入される金額は（ ② ）となる。,,,,,,① 220万円   ② 110万円,① 270万円   ② 135万円,① 360万円   ② 180万円,,1,正解は1です。一時所得＝410万円－140万円－特別控除50万円＝220万円。総所得への算入はその2分の1で110万円です。,2025年学科第46問の11問目の派生。収入・支出の数値を入れ替えた一時所得の演習問題です。,一時所得＝総収入410万円－必要経費140万円－特別控除50万円＝220万円。算入額は220万円の2分の1＝110万円です。,2:270万円は特別控除50万円を差し引かず410万円－140万円だけで計算した誤りです。一時所得には50万円の特別控除があります。270万円の2分の1は135万円ですが、正しい一時所得は220万円です。;3:360万円は必要経費140万円を差し引かず410万円－50万円で計算した誤りです。一時所得は総収入から必要経費と特別控除50万円の両方を差し引きます。正しくは220万円・110万円です。,一時所得＝総収入－必要経費－50万円。総所得への算入はその2分の1。
250,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-49-v7,2026-gakka-49,"住宅ローンを利用して認定長期優良住宅を新築し、新たに所得税における住宅借入金等特別控除の適用を受ける場合、住宅借入金の年末残高が2,800万円であり、控除率が0.7％であるとき、控除額は（   ）である。",,,,,,19.6万円,28.0万円,196万円,,1,"正解は1です。控除額＝住宅借入金の年末残高×控除率＝2,800万円×0.7％＝19.6万円です。","2026年学科第49問の7問目の派生。年末残高2,800万円から住宅借入金等特別控除額を計算する演習問題です。","2,800万円×0.7％＝19.6万円。0.7％は100で割って0.007を掛けるか、0.7％として直接掛け算します。","2:28.0万円は2,800万円×1.0％など、控除率を誤った場合の値です。認定長期優良住宅の控除率は0.7％であり、2,800万円×0.7％＝19.6万円が正しい控除額です。残高と控除率の掛け算を確認しましょう。;3:196万円は2,800万円×7％など、パーセントの扱いを誤った場合の値です。控除率は0.7％であり、100で割ってから掛けるか、0.7％として計算します。7％と0.7％の取り違えに注意してください。",住宅借入金等特別控除額＝年末残高×控除率。認定長期優良住宅の控除率は0.7％。
251,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-43-v13,2024-gakka-43,Ａ資産の期待収益率が2.5％、Ｂ資産の期待収益率が6.5％の場合に、Ａ資産を55％、Ｂ資産を45％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,4.30％,9.0％,6.5％,,1,正解は1です。Ａ資産2.5％×55％＋Ｂ資産6.5％×45％＝1.375％＋2.925％＝4.30％です。,2024年学科第43問の13問目の派生。A資産比率を高くしたポートフォリオ期待収益率の演習です。,2.5×0.55＋6.5×0.45＝4.30％。Aの比率が55％とやや大きいですが、Bの収益率が高いため中間的な4.30％になります。,2:9.0％は2.5％と6.5％を足した値です。期待収益率は合計ではなく、各資産の期待収益率に組入比率を掛けて合計します。55％と45％を掛けたうえで足し合わせ、4.30％になることを確認してください。;3:6.5％はＢ資産の期待収益率そのものです。ポートフォリオはＡ資産も55％組み入れているため、Ｂ資産の収益率だけでは全体の期待収益率は表せません。加重平均で4.30％になります。,ポートフォリオ期待収益率＝Σ(各資産の期待収益率×組入比率)。比率が大きい資産の収益率に引き寄せられます。
252,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-42-v10,2025-gakka-42,"Ｎ社の株価が2,100円、１株当たり純利益が175円、１株当たり純資産（自己資本）が700円である場合、Ｎ社のＲＯＥは、 （   ）である。",,,,,,20％,25％,21.0倍,,2,"正解は2です。ROE＝175円÷700円×100＝25％です。株価2,100円はPERやPBRの計算に使う数値で、ROEには使いません。",2025年学科第42問の10問目の派生。数値を入れ替えたROEの演習問題です。,ROE＝175円÷700円×100＝25％。分子は純利益、分母は自己資本（純資産）であり、株価は使いません。,"1:20％は純利益を株価で割った値など、ROEの定義と異なる計算から導かれます。ROEは自己資本に対する収益性を示し、株価2,100円ではなく純資産700円を分母にします。175÷700×100＝25％が正しい計算です。;3:21.0倍はPERのように「倍」で表す指標と混同した誤りです。ROEは％で表す自己資本利益率であり、175÷700×100＝25％が正しい計算です。倍率とパーセントの単位の取り違えに注意してください。",ROEは「純利益÷純資産×100」。株価が文中に出てきてもROEでは使わない、という引っかけに注意。
253,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-12-v12,2025-gakka-12,"Ｏ社の株価が3,010円、１株当たり純利益が86円である場合、Ｏ社のＰＥＲ（株価収益率）は、 （   ）である。",,,,,,25倍,35倍,86倍,,2,"正解は2です。PER＝3,010円÷86円＝35倍です。株価を1株当たり純利益で割ります。",2025年学科第12問の12問目の派生。PERを求める演習問題です。,"PER＝3,010円÷86円＝35倍。株価を1株当たり純利益で割ります。","1:25倍は純利益の2倍で割るなど、計算式を誤った場合の値です。PERは株価÷純利益であり、3,010円÷86円＝35倍が正しい計算です。純資産はPBRの計算に使う数値で、PERでは使いません。;3:86倍は純利益の数値（86円）をそのまま倍率と混同した誤りです。株価3,010円を純利益86円で割ると35倍になります。分子は株価、分母は純利益です。PERやROEとは公式が異なる点に注意してください。",PER＝株価÷純利益。ROEやPBRと分母が異なるので、指標ごとに分子・分母を整理して覚えましょう。
254,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-12-v11,2024-gakka-12,"Ｅ社の株価が2,070円、１株当たり純資産（自己資本）が575円である場合、Ｅ社のＰＢＲ（株価純資産倍率）は、 （   ）である。",,,,,,3.0倍,3.6倍,2.07倍,,2,"正解は2です。PBR＝2,070円÷575円＝3.6倍です。株価を1株当たり純資産で割ります。",2024年学科第12問の11問目の派生。株価と純資産の数値を入れ替えたPBRの演習問題です。,"PBR＝2,070円÷575円＝3.6倍。株価を1株当たり純資産（自己資本）で割ります。","1:3.0倍は純資産の2倍で割るなど、計算式を誤った場合の値です。PBRは株価÷純資産であり、2,070円÷575円＝3.6倍が正しい計算です。純利益はPERの計算に使う数値です。;3:2.07倍は株価の数値（2,070円）をそのまま倍率と混同した誤りです。PBRは株価を純資産で割った商であり、2,070÷575＝3.6倍が正しい計算です。PERやROEとは公式が異なる点に注意してください。",PBR＝株価÷純資産。数値が変わっても公式は同じです。
255,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-11-v18,2026-gakka-11,表面利率（クーポンレート）3.1％、残存期間5年の固定利付債券を額面100円当たり101円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第3位を四捨五入している。,,,,,,2.87％,3.10％,3.50％,,1,正解は1です。{3.1円＋(100円－101円)÷5年}÷101円×100＝約2.871％となり、小数点以下第3位を四捨五入して2.87％です。,2026年学科第11問の18問目の派生。プレミアム購入・残存5年の債券最終利回りの演習問題です。,{3.1＋(100－101)÷5}÷101×100≒2.871％→2.87％。購入価格が額面を上回ると償還差損が利回りを押し下げます。,2:3.10％は表面利率そのもので、購入価格101円が額面と異なる場合の償還差損を反映していません。最終利回りは購入価格101円を分母にし、{3.1＋(100－101)÷5}÷101×100で計算します。;3:3.50％は償還差損の按分を誤った場合や、分母に額面100円を使った誤りで出やすい値です。式どおり計算すると2.871％となり、第3位を四捨五入して2.87％が正しい最終利回りです。,最終利回り＝{表面利率＋(額面－購入価格)÷残存期間}÷購入価格×100。プレミアム購入では利回り低下。
256,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-12-v7,2026-gakka-12,"下記の〈Ｘ社のデータ〉に基づいて計算したＸ社の配当性向は（ ① ）、配当利回りは（ ② ）である。

〈Ｘ社のデータ〉
株価　　　　　： 3,000円
１株当たり配当金： 75円
１株当たり純利益： 150円
１株当たり純資産　： 1,300円",,,,,,① 25％   ②  2.5％,① 50％   ②  2.5％,① 50％   ②  3.0％,,2,"正解は2です。配当性向は75円÷150円×100＝50％です。配当利回りは75円÷3,000円×100＝2.5％です。",2026年学科第12問の7問目の派生。配当性向・配当利回りの数値バリエーション演習です。,"配当性向＝75÷150×100＝50％。配当利回り＝75÷3,000×100＝2.5％。①50％②2.5％が正しい組合せです。","1:①25％②2.5％は配当性向を純資産1,300円で割るなど、分母の取り違えで生じやすい誤りです。配当性向の分母は純利益150円であり、純資産1,300円ではありません。75÷150×100＝50％です。;3:①50％②3.0％は配当性向は正しいが配当利回りを75÷2,500などで計算した誤りです。利回りの分母は株価3,000円なので、75÷3,000×100＝2.5％が正しい組合せになります。",配当性向＝配当÷純利益、配当利回り＝配当÷株価。それぞれ分母が異なるので取り違えに注意。
257,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-11-v4,2025-gakka-11,"追加型株式投資信託を基準価額12,200円（１万口当たり）で１万口購入した後、最初の決算時に１万口当たり650円の収益分配金が支払われ、分配落ち後の基準価額が11,700円（１万口当たり）となった場合、その収益分配金のうち、普通分配金は（ ① ）であり、元本払戻金（特別分配金）は（ ② ）である。",,,,,,① 150円   ② 500円,① 500円   ② 150円,① 650円   ②   0円,,1,"正解は1です。分配落ち前の基準価額は11,700円＋650円＝12,350円です。個別元本12,200円を上回る150円が普通分配金、残り500円が元本払戻金（特別分配金）です。",2025年学科第11問の4問目の派生。基準価額と分配金の数値を変更した投資信託分配金の演習問題です。,"分配落ち前12,350円と個別元本12,200円の差150円が普通分配金。分配金650円の残り500円が特別分配金です。","2:①500円②150円は普通分配金と特別分配金を逆にした誤りです。個別元本を超える部分が普通分配金、超えない部分が元本払戻金（特別分配金）になる順序を確認してください。本問では150円と500円に分かれます。;3:①650円②0円は分配金すべてを普通分配金とみなした誤りです。分配落ち前基準価額が個別元本を上回るとは限らず、上回らない部分は特別分配金として扱います。12,350円－12,200円＝150円が普通分配金です。",分配落ち後＋分配金＝分配落ち前。普通分配金は個別元本を超えた利益分、超えない分は特別分配金です。
258,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-26-v9,2024-gakka-26,暦年課税による贈与において、Ｒさんが同年中に父から195万円、母から85万円の贈与を受けた場合、贈与税の課税価格（基礎控除後）は、 （   ）である。,,,,,,170万円,110万円,280万円,,1,正解は1です。暦年課税の基礎控除は受贈者ごとに年間110万円です。贈与額合計280万円－110万円＝170万円が課税価格です。,2024年学科第26問の9問目の派生。贈与額を入れ替えた暦年贈与の課税価格の演習問題です。,贈与合計280万円から、受贈者1人あたりの基礎控除110万円を差し引き、課税価格は170万円です。,2:110万円は基礎控除額そのものです。課税価格は贈与額合計から基礎控除110万円を差し引いた後の金額であり、110万円は控除額であって課税価格ではありません。280万円－110万円＝170万円が正解です。;3:280万円は基礎控除を差し引く前の贈与額合計です。暦年課税では年間110万円の基礎控除を課税価格から控除してから税率を適用します。280万円－110万円＝170万円が課税価格となります。,暦年贈与の基礎控除＝受贈者1人につき年110万円。贈与者の数ではなく受贈者単位です。
259,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-59-v5,2024-gakka-59,"貸家建付地の相続税評価額は、その自用地としての価額が8,800万円、借地権割合が60％、借家権割合が30％、賃貸割合が100％である場合、 （   ）となる。",,,,,,"5,280万円","7,216万円","8,800万円",,2,"正解は2です。8,800万円×(1－60％×30％×100％)＝8,800万円×82％＝7,216万円です。","2024年学科第59問の5問目の派生。自用地価額8,800万円の貸家建付地評価の演習問題です。","貸家建付地＝自用地価額×(1－借地権割合×借家権割合×賃貸割合)。8,800万円×0.82＝7,216万円です。","1:5,280万円は自用地価額に借地権割合60％だけを掛けた誤りです。貸家建付地は借地権・借家権・賃貸割合の3つを掛け合わせた割合を控除します。8,800万円×(1－60％×30％×100％)＝7,216万円が正しい計算です。;3:8,800万円は減額前の自用地価額そのものです。貸家建付地には借地権・借家権による減額があり、賃貸割合100％の場合は8,800万円×82％＝7,216万円が評価額となります。",貸家建付地＝自用地価額×(1－借地権割合×借家権割合×賃貸割合)。
260,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-49-v8,2026-gakka-49,"住宅ローンを利用して認定長期優良住宅を新築し、新たに所得税における住宅借入金等特別控除の適用を受ける場合、住宅借入金の年末残高が3,200万円であり、控除率が0.7％であるとき、控除額は（   ）である。",,,,,,22.4万円,32.0万円,224万円,,1,"正解は1です。控除額＝住宅借入金の年末残高×控除率＝3,200万円×0.7％＝22.4万円です。","2026年学科第49問の8問目の派生。年末残高3,200万円から住宅借入金等特別控除額を計算する演習問題です。","3,200万円×0.7％＝22.4万円。0.7％は100で割って0.007を掛けるか、0.7％として直接掛け算します。","2:32.0万円は3,200万円×1.0％など、控除率を誤った場合の値です。認定長期優良住宅の控除率は0.7％であり、3,200万円×0.7％＝22.4万円が正しい控除額です。残高と控除率の掛け算を確認しましょう。;3:224万円は3,200万円×7％など、パーセントの扱いを誤った場合の値です。控除率は0.7％であり、100で割ってから掛けるか、0.7％として計算します。7％と0.7％の取り違えに注意してください。",住宅借入金等特別控除額＝年末残高×控除率。認定長期優良住宅の控除率は0.7％。
261,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-43-v14,2024-gakka-43,Ａ資産の期待収益率が4.5％、Ｂ資産の期待収益率が7.5％の場合に、Ａ資産を50％、Ｂ資産を50％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,6.0％,12.0％,7.5％,,1,正解は1です。Ａ資産4.5％×50％＋Ｂ資産7.5％×50％＝2.25％＋3.75％＝6.0％です。,2024年学科第43問の14問目の派生。50％ずつのポートフォリオ期待収益率の演習です。,4.5×0.5＋7.5×0.5＝6.0％。比率が50％・50％のときは単純平均と一致しますが、必ず加重平均の式で計算します。,2:12.0％は4.5％と7.5％を足した値です。期待収益率は合計ではなく、各資産の期待収益率に組入比率を掛けて合計します。50％と50％を掛けたうえで足し合わせ、6.0％になることを確認してください。;3:7.5％はＢ資産の期待収益率そのものです。ポートフォリオはＡ資産も50％組み入れているため、Ｂ資産の収益率だけでは全体の期待収益率は表せません。加重平均で6.0％になります。,ポートフォリオ期待収益率＝Σ(各資産の期待収益率×組入比率)。50％・50％でも必ず式に代入して計算します。
262,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-42-v11,2025-gakka-42,"Ｓ社の株価が1,870円、１株当たり純利益が187円、１株当たり純資産（自己資本）が850円である場合、Ｓ社のＲＯＥは、 （   ）である。",,,,,,18％,22％,18.7倍,,2,"正解は2です。ROE＝187円÷850円×100＝22％です。株価1,870円はPERやPBRの計算に使う数値で、ROEには使いません。",2025年学科第42問の11問目の派生。数値を入れ替えたROEの演習問題です。,ROE＝187円÷850円×100＝22％。分子は純利益、分母は自己資本（純資産）であり、株価は使いません。,"1:18％は純利益を株価で割った値など、ROEの定義と異なる計算から導かれます。ROEは自己資本に対する収益性を示し、株価1,870円ではなく純資産850円を分母にします。187÷850×100＝22％が正しい計算です。;3:18.7倍はPERのように「倍」で表す指標と混同した誤りです。ROEは％で表す自己資本利益率であり、187÷850×100＝22％が正しい計算です。倍率とパーセントの単位の取り違えに注意してください。",ROEは「純利益÷純資産×100」。株価が文中に出てきてもROEでは使わない、という引っかけに注意。
263,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-12-v13,2025-gakka-12,"Ｔ社の株価が3,220円、１株当たり純利益が92円である場合、Ｔ社のＰＥＲ（株価収益率）は、 （   ）である。",,,,,,25倍,35倍,92倍,,2,"正解は2です。PER＝3,220円÷92円＝35倍です。株価を1株当たり純利益で割ります。",2025年学科第12問の13問目の派生。PERを求める演習問題です。,"PER＝3,220円÷92円＝35倍。株価を1株当たり純利益で割ります。","1:25倍は純利益の2倍で割るなど、計算式を誤った場合の値です。PERは株価÷純利益であり、3,220円÷92円＝35倍が正しい計算です。純資産はPBRの計算に使う数値で、PERでは使いません。;3:92倍は純利益の数値（92円）をそのまま倍率と混同した誤りです。株価3,220円を純利益92円で割ると35倍になります。分子は株価、分母は純利益です。PERやROEとは公式が異なる点に注意してください。",PER＝株価÷純利益。ROEやPBRと分母が異なるので、指標ごとに分子・分母を整理して覚えましょう。
264,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-12-v12,2024-gakka-12,"Ｂ社の株価が2,180円、１株当たり純資産（自己資本）が545円である場合、Ｂ社のＰＢＲ（株価純資産倍率）は、 （   ）である。",,,,,,3.0倍,4.0倍,2.18倍,,2,"正解は2です。PBR＝2,180円÷545円＝4.0倍です。株価を1株当たり純資産で割ります。",2024年学科第12問の12問目の派生。株価と純資産の数値を入れ替えたPBRの演習問題です。,"PBR＝2,180円÷545円＝4.0倍。株価を1株当たり純資産（自己資本）で割ります。","1:3.0倍は純資産の2倍で割るなど、計算式を誤った場合の値です。PBRは株価÷純資産であり、2,180円÷545円＝4.0倍が正しい計算です。純利益はPERの計算に使う数値です。;3:2.18倍は株価の数値（2,180円）をそのまま倍率と混同した誤りです。PBRは株価を純資産で割った商であり、2,180÷545＝4.0倍が正しい計算です。PERやROEとは公式が異なる点に注意してください。",PBR＝株価÷純資産。数値が変わっても公式は同じです。
265,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-11-v19,2026-gakka-11,表面利率（クーポンレート）1.2％、残存期間8年の固定利付債券を額面100円当たり95円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第3位を四捨五入している。,,,,,,1.92％,1.20％,2.00％,,1,正解は1です。{1.2円＋(100円－95円)÷8年}÷95円×100＝約1.921％となり、小数点以下第3位を四捨五入して1.92％です。,2026年学科第11問の19問目の派生。ディスカウント購入・残存8年の債券最終利回りの演習問題です。,{1.2＋(100－95)÷8}÷95×100≒1.921％→1.92％。購入価格が額面を下回ると償還差益が利回りを押し上げます。,2:1.20％は表面利率そのもので、購入価格95円が額面と異なる場合の償還差益を反映していません。最終利回りは購入価格95円を分母にし、{1.2＋(100－95)÷8}÷95×100で計算します。;3:2.00％は償還差益の按分を誤った場合や、分母に額面100円を使った誤りで出やすい値です。式どおり計算すると1.921％となり、第3位を四捨五入して1.92％が正しい最終利回りです。,最終利回り＝{表面利率＋(額面－購入価格)÷残存期間}÷購入価格×100。ディスカウント購入では利回り上昇。
266,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-12-v8,2026-gakka-12,"下記の〈Ｙ社のデータ〉に基づいて計算したＹ社の配当性向は（ ① ）、配当利回りは（ ② ）である。

〈Ｙ社のデータ〉
株価　　　　　： 3,200円
１株当たり配当金： 64円
１株当たり純利益： 160円
１株当たり純資産　： 1,400円",,,,,,① 20％   ②  2％,① 40％   ②  2％,① 40％   ②  3.2％,,2,"正解は2です。配当性向は64円÷160円×100＝40％です。配当利回りは64円÷3,200円×100＝2％です。",2026年学科第12問の8問目の派生。配当性向・配当利回りの数値バリエーション演習です。,"配当性向＝64÷160×100＝40％。配当利回り＝64÷3,200×100＝2％。①40％②2％が正しい組合せです。","1:①20％②2％は配当性向を純資産1,400円で割るなど、分母の取り違えで生じやすい誤りです。配当性向の分母は純利益160円であり、純資産1,400円ではありません。64÷160×100＝40％です。;3:①40％②3.2％は配当性向は正しいが配当利回りを64÷2,000などで計算した誤りです。利回りの分母は株価3,200円なので、64÷3,200×100＝2％が正しい組合せになります。",配当性向＝配当÷純利益、配当利回り＝配当÷株価。それぞれ分母が異なるので取り違えに注意。
267,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-41-v4,2025-gakka-41,"追加型株式投資信託を基準価額12,500円（１万口当たり）で１万口購入した後、最初の決算時に１万口当たり620円の収益分配金が支払われ、分配落ち後の基準価額が12,050円（１万口当たり）となった場合、その収益分配金のうち、普通分配金は（ ① ）であり、元本払戻金（特別分配金）は（ ② ）である。",,,,,,① 170円   ② 450円,① 450円   ② 170円,① 620円   ②   0円,,1,"正解は1です。分配落ち前の基準価額は12,050円＋620円＝12,670円です。個別元本12,500円を上回る170円が普通分配金、残り450円が元本払戻金（特別分配金）です。",2025年学科第41問の4問目の派生。基準価額と分配金の数値を変更した投資信託分配金の演習問題です。,"分配落ち前12,670円と個別元本12,500円の差170円が普通分配金。分配金620円の残り450円が特別分配金です。","2:①450円②170円は普通分配金と特別分配金を逆にした誤りです。個別元本を超える部分が普通分配金、超えない部分が元本払戻金（特別分配金）になる順序を確認してください。本問では170円と450円に分かれます。;3:①620円②0円は分配金すべてを普通分配金とみなした誤りです。分配落ち前基準価額が個別元本を上回るとは限らず、上回らない部分は特別分配金として扱います。12,670円－12,500円＝170円が普通分配金です。",分配落ち後＋分配金＝分配落ち前。普通分配金は個別元本を超えた利益分、超えない分は特別分配金です。
268,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-46-v12,2026-gakka-46,"給与所得者が30年間勤務した会社を定年退職し、退職金3,400万円の支給を受けた場合、所得税における退職所得の金額の計算上、退職所得控除額は（   ）となる。",,,,,,"800万円＋40万円×(30年－20年)＝1,200万円","800万円＋70万円×(30年－20年)＝1,500万円","70万円×30年＝2,100万円",,2,"正解は2です。勤続20年超は800万円＋70万円×(勤続年数－20年)です。30年なら800万円＋70万円×10年＝1,500万円です。",2026年学科第46問の12問目の派生。勤続30年の退職所得控除を計算する演習問題です。,"勤続30年は20年超のため、800万円＋70万円×(30－20)＝1,500万円。40万円の加算は20年以下の公式です。","1:1,200万円は20年超の場合に使う70万円ではなく40万円を掛けた誤りです。勤続20年超の退職所得控除は800万円＋70万円×(年数－20)で計算します。30年なら70万円×10年を加算して1,500万円です。;3:2,100万円は70万円×勤続年数という公式で、最低控除額800万円を考慮していません。20年超はまず800万円に加えて、超過年数に70万円を掛ける計算が正しい退職所得控除の求め方です。",退職所得控除：20年以下＝40万円×年数（最低80万円）、20年超＝800万円＋70万円×(年数－20)。
269,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2025-gakka-46-v12,2025-gakka-46,所得税における一時所得に係る総収入金額が480万円で、その収入を得るために支出した金額が160万円である場合、一時所得の金額は（ ① ）となり、そのうち総所得金額に算入される金額は（ ② ）となる。,,,,,,① 270万円   ② 135万円,① 320万円   ② 160万円,① 430万円   ② 215万円,,1,正解は1です。一時所得＝480万円－160万円－特別控除50万円＝270万円。総所得への算入はその2分の1で135万円です。,2025年学科第46問の12問目の派生。収入・支出の数値を入れ替えた一時所得の演習問題です。,一時所得＝総収入480万円－必要経費160万円－特別控除50万円＝270万円。算入額は270万円の2分の1＝135万円です。,2:320万円は特別控除50万円を差し引かず480万円－160万円だけで計算した誤りです。一時所得には50万円の特別控除があります。320万円の2分の1は160万円ですが、正しい一時所得は270万円です。;3:430万円は必要経費160万円を差し引かず480万円－50万円で計算した誤りです。一時所得は総収入から必要経費と特別控除50万円の両方を差し引きます。正しくは270万円・135万円です。,一時所得＝総収入－必要経費－50万円。総所得への算入はその2分の1。
270,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-49-v9,2026-gakka-49,"住宅ローンを利用して認定長期優良住宅を新築し、新たに所得税における住宅借入金等特別控除の適用を受ける場合、住宅借入金の年末残高が3,400万円であり、控除率が0.7％であるとき、控除額は（   ）である。",,,,,,23.8万円,34.0万円,238万円,,1,"正解は1です。控除額＝住宅借入金の年末残高×控除率＝3,400万円×0.7％＝23.8万円です。","2026年学科第49問の9問目の派生。年末残高3,400万円から住宅借入金等特別控除額を計算する演習問題です。","3,400万円×0.7％＝23.8万円。0.7％は100で割って0.007を掛けるか、0.7％として直接掛け算します。","2:34.0万円は3,400万円×1.0％など、控除率を誤った場合の値です。認定長期優良住宅の控除率は0.7％であり、3,400万円×0.7％＝23.8万円が正しい控除額です。残高と控除率の掛け算を確認しましょう。;3:238万円は3,400万円×7％など、パーセントの扱いを誤った場合の値です。控除率は0.7％であり、100で割ってから掛けるか、0.7％として計算します。7％と0.7％の取り違えに注意してください。",住宅借入金等特別控除額＝年末残高×控除率。認定長期優良住宅の控除率は0.7％。
271,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-43-v15,2024-gakka-43,Ａ資産の期待収益率が3.2％、Ｂ資産の期待収益率が8.8％の場合に、Ａ資産を65％、Ｂ資産を35％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,5.16％,12.0％,8.8％,,1,正解は1です。Ａ資産3.2％×65％＋Ｂ資産8.8％×35％＝2.08％＋3.08％＝5.16％です。,2024年学科第43問の15問目の派生。A資産比率を高くしたポートフォリオ期待収益率の演習です。,3.2×0.65＋8.8×0.35＝5.16％。Aの比率が65％と大きいため、ポートフォリオ収益率はA寄りになります。,2:12.0％は3.2％と8.8％を足した値です。期待収益率は合計ではなく、各資産の期待収益率に組入比率を掛けて合計します。65％と35％を掛けたうえで足し合わせ、5.16％になることを確認してください。;3:8.8％はＢ資産の期待収益率そのものです。ポートフォリオはＡ資産も65％組み入れているため、Ｂ資産の収益率だけでは全体の期待収益率は表せません。加重平均で5.16％になります。,ポートフォリオ期待収益率＝Σ(各資産の期待収益率×組入比率)。比率が大きい資産の収益率に引き寄せられます。
272,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-42-v12,2025-gakka-42,"Ｕ社の株価が2,040円、１株当たり純利益が204円、１株当たり純資産（自己資本）が1,020円である場合、Ｕ社のＲＯＥは、 （   ）である。",,,,,,15％,20％,20.4倍,,2,"正解は2です。ROE＝204円÷1,020円×100＝20％です。株価2,040円はPERやPBRの計算に使う数値で、ROEには使いません。",2025年学科第42問の12問目の派生。数値を入れ替えたROEの演習問題です。,"ROE＝204円÷1,020円×100＝20％。分子は純利益、分母は自己資本（純資産）であり、株価は使いません。","1:15％は純利益を株価で割った値など、ROEの定義と異なる計算から導かれます。ROEは自己資本に対する収益性を示し、株価2,040円ではなく純資産1,020円を分母にします。204÷1,020×100＝20％が正しい計算です。;3:20.4倍はPERのように「倍」で表す指標と混同した誤りです。ROEは％で表す自己資本利益率であり、204÷1,020×100＝20％が正しい計算です。倍率とパーセントの単位の取り違えに注意してください。",ROEは「純利益÷純資産×100」。株価が文中に出てきてもROEでは使わない、という引っかけに注意。
