term,category,tags,short_def,definition,related_terms,legal_basis,importance,explanation,article_title,article_lead,term_detail_body,exam_points,common_mistakes,memory_tip,example_question,example_answer,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer,diagram_id,slug,author_name,reviewer_name,fact_checked_at,primary_sources,content_status
小規模企業共済等掛金控除,タックスプランニング,FP2級;用語,iDeCoの掛金や小規模企業共済の掛金を全額控除できる制度。,iDeCoの掛金・小規模企業共済の掛金を全額所得控除できる制度。,,,B,小規模企業共済等掛金控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,小規模企業共済等掛金控除はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
医療費控除,タックスプランニング,FP2級;用語,年間の医療費が10万円（または合計所得の5%）を超えた場合に、超過分を控除できる制度。,一定額を超えた医療費を所得から控除できる制度（総所得金額等の5%または10万円を超えた部分）。,,,A,医療費控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,医療費控除はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
寄附金控除,タックスプランニング,FP2級;用語,ふるさと納税などの寄附金を一定額まで所得控除または税額控除できる制度。,ふるさと納税などの寄附金を一定額まで所得控除または税額控除できる制度。,,,B,寄附金控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,寄附金控除はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
住宅借入金等特別控除（住宅ローン控除）,タックスプランニング,FP2級;用語,住宅ローン年末残高の一定割合を所得税から直接差し引ける税額控除。,住宅ローン年末残高の一定割合を所得税から直接差し引ける税額控除。,,,B,住宅借入金等特別控除（住宅ローン控除）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,住宅借入金等特別控除（住宅ローン控除）はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
青色申告,タックスプランニング,FP2級;用語,複式簿記などの記帳を行う代わりに最大65万円の青色申告特別控除などの特典が得られる申告方式。,複式簿記などの記帳を行う代わりに最大65万円の青色申告特別控除などの特典が得られる申告方式。,,,A,青色申告が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,青色申告はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
損益通算,タックスプランニング,FP2級;用語,不動産所得・事業所得・山林所得・譲渡所得の損失を他の所得と相殺できる制度。,不動産所得・事業所得・山林所得・譲渡所得の損失を他の所得と相殺できる制度。,,,A,損益通算が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,損益通算はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
繰越控除,タックスプランニング,FP2級;用語,その年に控除しきれなかった損失を翌年以降に繰り越して控除できる制度。,その年に控除しきれなかった損失を翌年以降に繰り越して控除できる制度。,,,B,繰越控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,繰越控除はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
住民税,タックスプランニング,FP2級;用語,都道府県民税と市区町村民税の合計。前年の所得に基づき課税される地方税。,都道府県民税と市区町村民税の合計。前年の所得に基づき課税される地方税。,,,A,住民税が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,住民税はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
消費税,タックスプランニング,FP2級;用語,商品・サービスの消費に対して課される間接税。現在の標準税率は10%（軽減税率8%）。,商品・サービスの消費に対して課される間接税。現在の標準税率は10%（軽減税率8%）。,,,A,消費税が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,消費税はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
法人税,タックスプランニング,FP2級;用語,法人の所得に対して課される国税。個人の所得税に相当する。,法人の所得に対して課される国税。個人の所得税に相当する。,,,A,法人税が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,法人税はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
インボイス制度,タックスプランニング,FP2級;用語,消費税の仕入税額控除に適格請求書（インボイス）の保存を要件とする制度。,消費税の仕入税額控除に適格請求書（インボイス）の保存を要件とする制度。,,,B,インボイス制度が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,インボイス制度はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
不動産,不動産,FP2級;用語,土地および建物（定着物）の総称。民法では不動産以外を動産と定義する。,土地および建物（定着物）の総称。民法では不動産以外を動産と定義する。,,,A,不動産が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,不動産は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
登記,不動産,FP2級;用語,不動産の所有権・抵当権などの権利関係を法務局の登記簿に記録し、公示する制度。,不動産の所有権・抵当権などの権利関係を法務局の登記簿に記録し、公示する制度。,,,A,登記が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,登記は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
権利部（甲区）,不動産,FP2級;用語,登記簿の中で、所有権に関する情報を記録した部分。,登記簿の中で、所有権に関する情報を記録した部分。,,,B,権利部（甲区）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,権利部（甲区）は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
権利部（乙区）,不動産,FP2級;用語,登記簿の中で、抵当権・地役権などの所有権以外の権利を記録した部分。,登記簿の中で、抵当権・地役権などの所有権以外の権利を記録した部分。,,,B,権利部（乙区）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,権利部（乙区）は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
固定資産税評価額,不動産,FP2級;用語,市区町村が固定資産税算定のために評価した価格。公示地価の約70%が目安。,市区町村が固定資産税課税のために評価した土地・建物の価格（公示価格の約70%）。,,,A,固定資産税評価額が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,固定資産税評価額は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
相続税評価額（路線価）,不動産,FP2級;用語,相続税・贈与税の計算に使う土地の評価額。国税庁が毎年7月に公表する。公示地価の約80%が目安。,相続税・贈与税の計算に使う土地の評価額。国税庁が毎年7月に公表する。公示地価の約80%が目安。,,,A,相続税評価額（路線価）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,相続税評価額（路線価）は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
建築基準法,不動産,FP2級;用語,建物の敷地・構造・設備・用途に関する最低基準を定めた法律。,建築物の安全性・衛生環境等を確保するための法律（用途制限・形態規制等）。,,,A,建築基準法が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,建築基準法は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
都市計画法,不動産,FP2級;用語,都市の健全な発展のために土地利用・開発を規制する法律。,計画的な都市の整備を目的とした法律（都市計画区域・用途地域等を定める）。,,,B,都市計画法が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,都市計画法は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
用途地域,不動産,FP2級;用語,都市計画法に基づき、土地の用途を規制するために指定された地域。住居系・商業系・工業系に大別される。,都市計画法に基づき、土地の用途を規制するために指定された地域。住居系・商業系・工業系に大別される。,,,B,用途地域が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,用途地域は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
建ぺい率,不動産,FP2級;用語,敷地面積に対する建築面積（1階の水平投影面積）の割合。用途地域ごとに上限が定められている。,敷地面積に対する建築面積（1階の水平投影面積）の割合。用途地域ごとに上限が定められている。,,,A,建ぺい率が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,建ぺい率は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
容積率,不動産,FP2級;用語,敷地面積に対する延べ床面積の割合。用途地域ごとに上限が定められている。,敷地面積に対する延べ床面積の割合。用途地域ごとに上限が定められている。,,,A,容積率が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,容積率は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
セットバック,不動産,FP2級;用語,幅員4m未満の道路（2項道路）に面する土地で、道路中心線から2m後退すること。,幅員4m未満の道路（2項道路）に面する場合に道路中心線から2m後退して建築する義務。,,,B,セットバックが出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,セットバックは不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
媒介契約,不動産,FP2級;用語,売主または買主が不動産会社に売買・賃貸の仲介を依頼する契約。専属専任・専任・一般の3種類がある。,売主または買主が不動産会社に売買・賃貸の仲介を依頼する契約。専属専任・専任・一般の3種類がある。,,,A,媒介契約が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,媒介契約は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
宅地建物取引業法（宅建業法）,不動産,FP2級;用語,不動産取引を規制し消費者を保護する法律。宅建士による重要事項説明を義務付けている。,不動産取引を規制し消費者を保護する法律。宅建士による重要事項説明を義務付けている。,,,B,宅地建物取引業法（宅建業法）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,宅地建物取引業法（宅建業法）は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
重要事項説明,不動産,FP2級;用語,不動産売買・賃貸契約前に宅建士が買主・借主に物件・契約内容を説明する義務。,宅建業者が契約前に宅建士が行う物件・取引条件等の説明義務（書面交付・記名が必要）。,,,B,重要事項説明が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,重要事項説明は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
抵当権,不動産,FP2級;用語,住宅ローンなどの担保として不動産に設定される権利。返済不能時に競売で回収できる。,住宅ローンなどの担保として不動産に設定される権利。返済不能時に競売で回収できる。,,,A,抵当権が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,抵当権は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
固定資産税,不動産,FP2級;用語,毎年1月1日時点の土地・建物の所有者に課される地方税。税率は原則1.4%。,毎年1月1日現在の不動産所有者に市区町村が課税する税（評価額×1.4%が標準税率）。,,,A,固定資産税が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,固定資産税は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
不動産取得税,不動産,FP2級;用語,土地・建物を取得した際に一度だけ課される地方税。,不動産を取得した際に都道府県が課税する税（固定資産税評価額×3%、住宅等は軽減措置あり）。,,,A,不動産取得税が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,不動産取得税は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
登録免許税,不動産,FP2級;用語,不動産の登記・登録の際に課される国税。,不動産の所有権移転登記・抵当権設定登記等に課税される国税。,,,A,登録免許税が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,登録免許税は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
譲渡所得（不動産）,不動産,FP2級;用語,不動産の売却益。所有期間5年超（長期）か5年以下（短期）かで税率が異なる。,不動産の売却益。所有期間5年超（長期）か5年以下（短期）かで税率が異なる。,,,A,譲渡所得（不動産）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,譲渡所得（不動産）は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
"3,000万円特別控除",不動産,FP2級;用語,居住用財産の譲渡所得について、3000万円まで特別控除できる制度。,居住用財産の譲渡所得について、3000万円まで特別控除できる制度。,,,A,"3,000万円特別控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。",,,,"3,000万円特別控除は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい",,,,,,,,,,,,,,,,,,,draft
軽減税率の特例（居住用財産）,不動産,FP2級;用語,所有期間10年超のマイホームを売却した場合に適用される譲渡所得の軽減税率。,所有期間10年超のマイホームを売却した場合に適用される譲渡所得の軽減税率。,,,A,軽減税率の特例（居住用財産）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では不動産分野の計算・制度理解とセットで確認してください。,,,,軽減税率の特例（居住用財産）は不動産分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
相続,相続・事業承継,FP2級;用語,人が死亡した際に、その財産・権利・義務を一定の親族が引き継ぐこと。,人が死亡した際に財産（プラス・マイナス）が一定の親族等に引き継がれること。,,,A,相続が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,相続は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
被相続人,相続・事業承継,FP2級;用語,亡くなった人（財産を残した人）。,亡くなった人（財産を残した人）。,,,A,被相続人が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,被相続人は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
相続人,相続・事業承継,FP2級;用語,財産を引き継ぐ人。民法で定められた法定相続人と、遺言で指定された受遺者がいる。,財産を引き継ぐ人。民法で定められた法定相続人と、遺言で指定された受遺者がいる。,,,A,相続人が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,相続人は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
法定相続人,相続・事業承継,FP2級;用語,民法が定める相続権を持つ親族。配偶者・子・直系尊属・兄弟姉妹の順位がある。,民法が定める相続人（配偶者は常に相続人、子→直系尊属→兄弟姉妹の順に第1〜3順位）。,,,A,法定相続人が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,法定相続人は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
法定相続分,相続・事業承継,FP2級;用語,民法が定める各相続人の相続割合。,民法が定める各相続人の相続割合（例：配偶者と子1人の場合は各1/2）。,,,A,法定相続分が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,法定相続分は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
代襲相続,相続・事業承継,FP2級;用語,相続人が被相続人より先に死亡していた場合に、その子（孫など）が代わりに相続すること。,相続人となるべき子・兄弟姉妹が相続開始前に死亡等している場合に、その子が代わって相続すること。,,,B,代襲相続が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,代襲相続は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
相続放棄,相続・事業承継,FP2級;用語,相続人が相続する権利をすべて放棄すること。家庭裁判所に3か月以内に申述する。,相続人が相続する権利をすべて放棄すること。家庭裁判所に3か月以内に申述する。,,,A,相続放棄が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,相続放棄は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
限定承認,相続・事業承継,FP2級;用語,プラスの財産の範囲内でのみ負債を引き受ける相続の方法。相続人全員で申述する必要がある。,プラスの財産の範囲内でのみ負債を引き受ける相続の方法。相続人全員で申述する必要がある。,,,B,限定承認が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,限定承認は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
遺言,相続・事業承継,FP2級;用語,被相続人が生前に自分の財産の処分等について意思表示しておく法律行為。,被相続人が生前に財産の処分等について意思表示した書面（15歳以上が作成可能）。,,,A,遺言が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,遺言は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
自筆証書遺言,相続・事業承継,FP2級;用語,全文・日付・氏名を自書し押印した遺言書。財産目録はパソコン作成も可。,遺言者が全文・日付・氏名を自書し捺印する遺言（法務局での保管制度あり）。,,,A,自筆証書遺言が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,自筆証書遺言は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
公正証書遺言,相続・事業承継,FP2級;用語,公証人が作成する遺言書。証人2名以上が必要。改ざんのリスクが低く最も確実。,公証人が作成する遺言書。証人2名以上が必要。改ざんのリスクが低く最も確実。,,,A,公正証書遺言が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,公正証書遺言は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
遺留分,相続・事業承継,FP2級;用語,一定の相続人（配偶者・子・直系尊属）に保障された最低限の相続分。,一定の相続人（配偶者・子・直系尊属）に民法が保障する最低限の相続割合。,,,A,遺留分が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,遺留分は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
相続財産,相続・事業承継,FP2級;用語,相続の対象となるプラスの財産（預金・不動産等）とマイナスの財産（借金等）の総体。,相続の対象となるプラスの財産（預金・不動産等）とマイナスの財産（借金等）の総体。,,,A,相続財産が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,相続財産は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
生命保険金の非課税枠,相続・事業承継,FP2級;用語,相続人が受け取った生命保険金のうち「500万円×法定相続人の数」が相続税の課税対象外となる。,相続人が受け取った生命保険金のうち「500万円×法定相続人の数」が相続税の課税対象外となる。,,,B,生命保険金の非課税枠が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,生命保険金の非課税枠は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
退職手当金の非課税枠,相続・事業承継,FP2級;用語,相続人が受け取った死亡退職金のうち「500万円×法定相続人の数」が相続税の課税対象外となる。,相続人が受け取った死亡退職金のうち「500万円×法定相続人の数」が相続税の課税対象外となる。,,,B,退職手当金の非課税枠が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,退職手当金の非課税枠は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
相続税の基礎控除,相続・事業承継,FP2級;用語,相続税の課税遺産総額から差し引ける控除。「3000万円＋600万円×法定相続人の数」が基本控除額となる。,相続税の課税遺産総額から差し引ける控除。「3000万円＋600万円×法定相続人の数」が基本控除額となる。,,,B,相続税の基礎控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,相続税の基礎控除は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
相続税の計算,相続・事業承継,FP2級;用語,課税遺産総額を法定相続分で按分し、各相続税率を掛けた後に合算し、実際の取得割合で按分して各人の税額を求める。,課税遺産総額を法定相続分で按分し、各相続税率を掛けた後に合算し、実際の取得割合で按分して各人の税額を求める。,,,B,相続税の計算が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,相続税の計算は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
小規模宅地等の特例,相続・事業承継,FP2級;用語,被相続人の居住・事業用の宅地について、一定要件を満たす相続人が取得した場合に評価額を最大80%減額できる特例。,被相続人の居住・事業用の宅地について、一定要件を満たす相続人が取得した場合に評価額を最大80%減額できる特例。,,,A,小規模宅地等の特例が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,小規模宅地等の特例は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
贈与,相続・事業承継,FP2級;用語,生前に財産を無償で他者に渡す法律行為。書面・口頭を問わず双方の意思表示で成立する。,生前に財産を無償で他者に渡す法律行為。書面・口頭を問わず双方の意思表示で成立する。,,,A,贈与が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,贈与は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
贈与税の基礎控除,相続・事業承継,FP2級;用語,贈与税の計算で1年間に受け取った贈与から差し引ける110万円の控除。,贈与税の計算で1年間に受け取った贈与から差し引ける110万円の控除。,,,B,贈与税の基礎控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では相続・事業承継分野の計算・制度理解とセットで確認してください。,,,,贈与税の基礎控除は相続・事業承継分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
